"maille";"LAT";"LON";"ALT"
230;50.1886;2.50495;154
231;50.1884;2.61677;148
232;50.1881;2.7286;116
233;50.1877;2.84043;94
234;50.1872;2.95225;85
235;50.1866;3.06408;67
236;50.1858;3.17589;68
237;50.185;3.28771;63
238;50.1841;3.39952;86
239;50.1831;3.51133;103
240;50.182;3.62313;139
241;50.1807;3.73493;161
242;50.1794;3.84672;151
243;50.178;3.95851;188
244;50.1764;4.07029;203
245;50.1748;4.18206;231
246;50.1731;4.29382;240
247;50.1712;4.40558;255
248;50.1693;4.51733;245
249;50.1651;4.7408;194
250;50.1629;4.85252;189
251;50.1605;4.96423;212
252;50.114;1.4997;50
253;50.1148;1.61136;54
254;50.1154;1.72302;41
255;50.1159;1.83469;37
256;50.1163;1.94635;71
257;50.1166;2.05802;105
258;50.1168;2.16969;130
259;50.1169;2.28136;131
260;50.1169;2.39304;114
261;50.1168;2.50471;130
262;50.1166;2.61638;142
263;50.1163;2.72805;121
264;50.1159;2.83971;115
265;50.1154;2.95138;110
266;50.1148;3.06304;97
267;50.114;3.1747;84
268;50.1132;3.28636;98
269;50.1123;3.39801;120
270;50.1113;3.50966;123
271;50.1102;3.62131;146
272;50.1089;3.73294;161
273;50.1076;3.84458;160
274;50.1062;3.95621;180
275;50.1047;4.06783;201
276;50.103;4.17944;210
277;50.1013;4.29105;242
278;50.0995;4.40264;226
279;50.0975;4.51423;189
280;50.0955;4.62582;214
281;50.0933;4.73739;200
282;50.0911;4.84895;249
283;50.0887;4.9605;268
284;50.0405;1.27789;13
285;50.0414;1.38939;63
286;50.0422;1.50088;88
287;50.0429;1.61239;102
288;50.0436;1.72389;97
289;50.0441;1.8354;61
290;50.0445;1.94691;62
291;50.0448;2.05842;68
292;50.045;2.16993;85
293;50.0451;2.28144;123
294;50.0451;2.39296;127
295;50.045;2.50447;116
296;50.0448;2.61598;111
297;50.0445;2.72749;125
298;50.0441;2.839;129
299;50.0436;2.95051;124
300;50.0429;3.06201;122
301;50.0422;3.17352;114
302;50.0414;3.28501;129
303;50.0405;3.39651;141
304;50.0395;3.508;143
305;50.0384;3.61948;150
306;50.0371;3.73097;176
307;50.0358;3.84244;206
308;50.0344;3.95391;189
309;50.0329;4.06537;215
310;50.0312;4.17683;250
311;50.0295;4.28828;271
312;50.0277;4.39972;275
313;50.0257;4.51115;293
314;50.0237;4.62257;324
315;50.0216;4.73398;278
316;50.0193;4.84539;338
317;50.017;4.95678;367
318;49.9677;1.16806;50
319;49.9687;1.27939;107
320;49.9696;1.39073;103
321;49.9704;1.50207;123
322;49.9711;1.61341;107
323;49.9717;1.72476;116
324;49.9723;1.83611;102
325;49.9727;1.94746;66
326;49.973;2.05881;57
327;49.9732;2.17017;63
328;49.9733;2.28152;88
329;49.9733;2.39288;90
330;49.9732;2.50423;86
331;49.973;2.61559;77
332;49.9727;2.72694;89
333;49.9723;2.83829;88
334;49.9717;2.94964;99
335;49.9711;3.06099;113
336;49.9704;3.17233;124
337;49.9696;3.28367;123
338;49.9687;3.39501;133
339;49.9677;3.50634;147
340;49.9665;3.61767;143
341;49.9653;3.72899;168
342;49.964;3.84031;207
343;49.9626;3.95162;206
344;49.9611;4.06292;215
345;49.9594;4.17422;264
346;49.9577;4.28551;306
347;49.9559;4.39679;335
348;49.9539;4.50807;351
349;49.9519;4.61933;301
350;49.9498;4.73059;392
351;49.9475;4.84184;412
352;49.9452;4.95307;386
353;49.9428;5.0643;388
354;49.9376;5.28672;450
355;49.9348;5.39791;496
356;49.932;5.50909;497
357;49.8908;0.72506;15
358;49.8922;0.83622;24
359;49.8935;0.94738;40
360;49.8947;1.05854;61
361;49.8959;1.16971;74
362;49.8969;1.28089;107
363;49.8978;1.39207;157
364;49.8986;1.50325;141
365;49.8993;1.61444;148
366;49.8999;1.72563;135
367;49.9004;1.83682;130
368;49.9008;1.94801;98
369;49.9011;2.05921;92
370;49.9013;2.1704;83
371;49.9014;2.2816;47
372;49.9014;2.3928;55
373;49.9013;2.504;58
374;49.9011;2.61519;70
375;49.9008;2.72639;69
376;49.9004;2.83758;78
377;49.8999;2.94877;68
378;49.8993;3.05996;89
379;49.8986;3.17115;98
380;49.8978;3.28233;104
381;49.8969;3.39351;110
382;49.8959;3.50469;116
383;49.8947;3.61586;129
384;49.8935;3.72702;148
385;49.8922;3.83818;166
386;49.8908;3.94934;178
387;49.8893;4.06048;184
388;49.8876;4.17162;213
389;49.8859;4.28276;252
390;49.8841;4.39388;300
391;49.8821;4.505;344
392;49.8801;4.61611;317
393;49.878;4.72721;276
394;49.8757;4.8383;292
395;49.8734;4.94938;319
396;49.871;5.06045;401
397;49.8684;5.1715;405
398;49.8658;5.28255;436
399;49.863;5.39359;433
400;49.8602;5.50461;466
401;49.8573;5.61562;461
402;49.7545;-1.93364;1
403;49.8158;0.50537;57
404;49.8174;0.61635;75
405;49.819;0.72734;82
406;49.8204;0.83834;80
407;49.8217;0.94934;77
408;49.8229;1.06035;94
409;49.824;1.17136;105
410;49.8251;1.28238;116
411;49.826;1.3934;133
412;49.8268;1.50443;182
413;49.8275;1.61546;194
414;49.8281;1.72649;164
415;49.8286;1.83753;174
416;49.829;1.94856;156
417;49.8293;2.0596;125
418;49.8295;2.17064;91
419;49.8296;2.28168;91
420;49.8296;2.39272;69
421;49.8295;2.50376;83
422;49.8293;2.6148;85
423;49.829;2.72584;89
424;49.8286;2.83687;85
425;49.8281;2.94791;72
426;49.8275;3.05894;82
427;49.8268;3.16997;96
428;49.826;3.281;93
429;49.8251;3.39202;97
430;49.824;3.50304;97
431;49.8229;3.61405;113
432;49.8217;3.72506;141
433;49.8204;3.83606;153
434;49.819;3.94706;173
435;49.8174;4.05805;204
436;49.8158;4.16903;212
437;49.8141;4.28001;221
438;49.8123;4.39098;253
439;49.8103;4.50194;222
440;49.8083;4.61289;204
441;49.8062;4.72383;233
442;49.804;4.83477;282
443;49.8016;4.94569;360
444;49.7992;5.0566;338
445;49.7966;5.1675;345
446;49.794;5.27839;385
447;49.7913;5.38927;402
448;49.7884;5.50014;429
449;49.7855;5.61099;457
450;49.6827;-1.92763;57
451;49.6866;-1.81706;80
452;49.6903;-1.70648;11
453;49.6975;-1.48527;18
454;49.701;-1.37464;23
455;49.7043;-1.264;2
456;49.7385;0.17551;8
457;49.7405;0.28632;48
458;49.7423;0.39713;87
459;49.744;0.50795;109
460;49.7456;0.61878;101
461;49.7471;0.72961;118
462;49.7486;0.84045;131
463;49.7499;0.9513;119
464;49.7511;1.06215;122
465;49.7522;1.17301;132
466;49.7532;1.28387;175
467;49.7541;1.39473;129
468;49.7549;1.5056;170
469;49.7556;1.61648;218
470;49.7563;1.72735;185
471;49.7568;1.83823;200
472;49.7572;1.94911;168
473;49.7575;2.05999;138
474;49.7577;2.17087;102
475;49.7578;2.28176;122
476;49.7578;2.39264;96
477;49.7577;2.50353;82
478;49.7575;2.61441;99
479;49.7572;2.72529;93
480;49.7568;2.83617;84
481;49.7563;2.94705;69
482;49.7556;3.05792;69
